cle;date;langue;nom_lu;nom_brut;numero_lu;total_lu;setcode_lu;confiance_nom;idProduct_retenu;codeSet_retenu;numero_retenu;source;voie;incertain;rang;idProduct_ATTENDU;lecture_ia_juste;champ_mal_lu;note
JP001;2026-07-29;JP;Charmander;;004;018;MCD;;557151;smP2;004;nom;numero-substitue;non;1;;;;
JP002;2026-07-30;JP;Wartortle;;019;029;e1;;762583;PCG8;019;nom;nom;non;1;;;;
JP003;2026-07-30;JP;Rhydon;;055;088;;;867977;m3;055;total+numero;numero;non;1;;;;
JP004;2026-07-30;JP;Ledian;;007;088;;;867921;m3;007;total+numero;numero;non;1;;;;
JP005;2026-07-30;JP;Arbok;アーボック;099;128;e1;haute;650689;EC1;099;nom;local-nom-numero;oui;1;;;;
JP006;2026-07-30;JP;Machop;ワンリキー;050;088;e5;haute;654050;EC5;050;total+numero;local-nom-numero;oui;1;;;;
JP007;2026-07-30;JP;Wartortle;カメール;019;029;;haute;762583;PCG8;019;nom;nom;non;1;;;;
JP008;2026-07-30;JP;Whitney's Wigglytuff;アカネのプクリン;015;141;VS;haute;554331;VS;015;catalogue-local;local-nom-numero;oui;1;;;;
JP009;2026-07-30;JP;Porygon2;ポリゴン2;063;092;e2;haute;765052;PCG6;063;total+numero;local-nom-numero;oui;1;;;;
JP010;2026-07-30;JP;Mewtwo;ミュウツー;086;128;e1;haute;650676;EC1;086;nom;nom;non;1;;;;
JP011;2026-07-30;JP;Stantler;オドシシ;068;088;e5;haute;654068;EC5;068;total+numero;local-nom-numero;oui;1;;;;
JP012;2026-07-30;JP;Hitmonchan;エビワラー;052;092;e2;haute;651954;EC2;052;total+numero;local-nom-numero;oui;1;;;;
JP013;2026-07-30;JP;Scizor;ハッサム;074;087;;haute;652068;EC3;074;nom;nom;non;1;;;;
JP014;2026-07-30;JP;Tentacool;メノクラゲ;028;087;e3;haute;652022;EC3;028;nom;nom;non;1;;;;
JP015;2026-07-30;JP;Starmie;スターミー;025;088;e4;haute;653919;EC4;025;total+numero;local-nom-numero;oui;1;;;;
JP016;2026-07-30;JP;Arcanine;ウインディ;016;092;e2;haute;651918;EC2;016;nom;local-nom-numero;oui;1;;;;
JP017;2026-07-30;JP;Flareon;ブースター;017;088;;haute;867931;m3;017;total+numero;nom;non;1;;;;
JP018;2026-07-30;JP;Whitney's Persian;アカネのペルシアン;016;141;VS;haute;554335;VS;016;catalogue-local;local-nom-numero;oui;1;;;;
JP019;2026-07-30;JP;Will's Espeon;イツキのエーフィ;076;141;VS;haute;554513;VS;076;catalogue-local;local-nom-numero;oui;1;;;;
JP020;2026-07-30;JP;Furret;オオタチ;066;087;null;haute;652060;EC3;066;nom;nom;non;1;;;;
JP021;2026-07-30;JP;Whitney's Furret;アカネのオオタチ;018;141;VS;haute;554338;VS;018;catalogue-local;local-nom-numero;oui;1;;;;
JP022;2026-07-30;JP;Magby;ブビィ;107;128;e1;haute;650697;EC1;107;catalogue-local;local-nom-numero;non;1;;;;
JP023;2026-07-30;JP;Electrode;マルマイン;040;088;e5;haute;654040;EC5;040;catalogue-local;local-nom-numero;non;1;;;;
JP024;2026-07-30;JP;Giovanni's Last Resort;サカキの切り札;;;G2;haute;605432;G2;;nom;nom;non;;;;;
JP025;2026-07-30;JP;Pikachu;ピカチュウ;020/M-P;;M-P;haute;839259;M-P;020;nom;local-nom-numero;oui;1;;;;
JP026;2026-07-30;JP;Light Jolteon;やさしいサンダース;135;;;haute;554732;VS;;nom;nom;non;2;;;;
JP027;2026-07-30;JP;Meowth;ニャース;105;;BW-P;haute;562211;BW-P;105;nom;local-nom-numero;oui;1;;;;
JP028;2026-07-30;JP;Geodude;イシツブテ;022;128;e1;haute;650612;EC1;022;catalogue-local;local-nom-numero;non;1;;;;
JP029;2026-07-30;JP;Clefable;ピクシー;093;128;e1;haute;650683;EC1;093;nom;nom;non;1;;;;
JP030;2026-07-30;JP;Meowth;ニャース;062;088;e3;haute;653971;EC4;062;nom;nom;non;1;;;;
JP031;2026-07-30;JP;Dark Haunter;わるいゴースト;093;;;haute;871882;WCD04;93;nom;nom;oui;1;;;;
JP032;2026-07-30;JP;Misty's Tears;カスミのなみだ;;;;haute;605180;G1;;nom;nom;non;;;;;
JP033;2026-07-30;JP;Pikachu;ピカチュウ;227/S-P;;S-P;haute;573772;S-P;227;nom;local-nom-numero;oui;1;;;;
JP034;2026-07-30;JP;Misty's Staryu;カスミのヒトデマン;120;;;haute;821952;sv10;120;nom;nom;oui;1;;;;
JP035;2026-07-30;JP;Pikachu;ピカチュウ;133/M-P;;PROMO;haute;894858;M-P;133;nom;local-nom-numero;oui;1;;;;
JP036;2026-07-30;JP;Mew;ミュウ;151;;;haute;819217;151C;151;nom;nom;non;1;;;;
JP037;2026-08-01;JP;Wartortle;カメール;002;032;CLK;haute;744627;CLK;002;nom;local-nom-numero;oui;1;;;;
JP038;2026-08-01;JP;Rattata;コラッタ;026;128;;haute;650616;EC1;026;catalogue-local;local-nom-numero;non;1;;;;
